visittype,form_id,form_name,form_desc,form_type,show_intake,cat_id,cat_name,cat_description,cat_level,parent_id,cat_ord,cat_sibling_ord,cat_loinc_code,num_signatures,pgbreak,cat_snomed_cid,cat_ancestor_id,question_id,q_ord,q_format,question_text,can_be_hidden,is_hidden,is_required,is_formrequired,loinc_code,q_external_id,q_snomed_cid,is_goldenthread,include_in_summary,is_print_label,client_field,control_alignment,is_line_break,label_x,control_x,after_spacing,after_line,is_label_bold,label_large,question_validation,start_range,end_range,max_len,field_len,default_answer,multi_line,line_spacing,calc,calc_formula,is_lookup,lookup_table,lookup_where,lookup_id,lookup_desc,lookup_sql,q_is_notificationtrigger,hl7_mapping,q_units,q_ancestor_id,answer_id,a_ord,answer,answer_text_long,a_external_id,a_loinc_code,a_snomed_cid,is_notes,is_default,a_is_notificationtrigger,can_add_visit_types,add_visit_types,show_question_ids,weight,a_units,hl7_code,a_ancestor_id,form_ver_id
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614353,17,NPB,2. I am afraid to be alone in the house.,True,True,0,False,SCARED-Q2,,,False,False,False,,R,True,1,1,0,False,True,False,,,,,,,,,,,False,,,,,,False,,,614353,1136712,3,2 - Very true or often true,,,,,False,False,False,,,,,,,1136712,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614354,18,NPB,3. People tell me that I worry too much.,True,True,0,False,SCARED-Q3,,,False,False,False,,R,True,1,1,0,False,True,False,,,,,,,,,,,False,,,,,,False,,,614354,1136713,1,0 - Not true or hardly ever true,,,,,False,False,False,,,,,,,1136713,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614354,18,NPB,3. People tell me that I worry too much.,True,True,0,False,SCARED-Q3,,,False,False,False,,R,True,1,1,0,False,True,False,,,,,,,,,,,False,,,,,,False,,,614354,1136714,2,1 - Somewhat true or sometimes true,,,,,False,False,False,,,,,,,1136714,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614354,18,NPB,3. People tell me that I worry too much.,True,True,0,False,SCARED-Q3,,,False,False,False,,R,True,1,1,0,False,True,False,,,,,,,,,,,False,,,,,,False,,,614354,1136715,3,2 - Very true or often true,,,,,False,False,False,,,,,,,1136715,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614355,19,NPB,4. I am scared to go to school.,True,True,0,False,SCARED-Q4,,,False,False,False,,R,True,1,1,0,False,True,False,,,,,,,,,,,False,,,,,,False,,,614355,1136716,1,0 - Not true or hardly ever true,,,,,False,False,False,,,,,,,1136716,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614355,19,NPB,4. I am scared to go to school.,True,True,0,False,SCARED-Q4,,,False,False,False,,R,True,1,1,0,False,True,False,,,,,,,,,,,False,,,,,,False,,,614355,1136717,2,1 - Somewhat true or sometimes true,,,,,False,False,False,,,,,,,1136717,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614355,19,NPB,4. I am scared to go to school.,True,True,0,False,SCARED-Q4,,,False,False,False,,R,True,1,1,0,False,True,False,,,,,,,,,,,False,,,,,,False,,,614355,1136718,3,2 - Very true or often true,,,,,False,False,False,,,,,,,1136718,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614356,20,NPB,5. I am shy.,True,True,0,False,SCARED-Q5,,,False,False,False,,R,True,1,1,0,False,True,False,,,,,,,,,,,False,,,,,,False,,,614356,1136719,1,0 - Not true or hardly ever true,,,,,False,False,False,,,,,,,1136719,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614356,20,NPB,5. I am shy.,True,True,0,False,SCARED-Q5,,,False,False,False,,R,True,1,1,0,False,True,False,,,,,,,,,,,False,,,,,,False,,,614356,1136720,2,1 - Somewhat true or sometimes true,,,,,False,False,False,,,,,,,1136720,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614356,20,NPB,5. I am shy.,True,True,0,False,SCARED-Q5,,,False,False,False,,R,True,1,1,0,False,True,False,,,,,,,,,,,False,,,,,,False,,,614356,1136721,3,2 - Very true or often true,,,,,False,False,False,,,,,,,1136721,6851
